Date,Open,High,Low,Close,Volume
2021-06-29,190752.2314581424,205290.41223578155,190092.2503915429,197831.30291289836,24815124419
2021-06-30,198146.98782123625,209021.34157837182,191421.69000127912,208248.4801898077,25828056268
2021-07-01,208234.73337832093,208234.73337832093,190535.45653489232,193513.26178085804,29061701793
2021-07-02,193173.324367702,197357.78672666103,185110.19355961308,196849.08764403313,31796212554
2021-07-03,196921.84515848756,204862.69640196115,193878.0775699243,203814.11644479632,17433361641
2021-07-04,203854.0380794555,218295.76765129715,200584.33102665097,212567.7730640322,18787107473
2021-07-05,212585.96803078055,212585.96803078055,198039.42740355432,201293.42062143981,20103794829
2021-07-06,201232.71112550795,214817.3772943616,201232.71112550795,212838.35054866225,20891861314
2021-07-07,212703.6765011698,220079.88025689125,210398.14621825516,211966.95916817337,22398345285
2021-07-08,212222.15810596943,212776.76930370927,191298.41574867815,194101.1335566342,23188123689
2021-07-09,193693.49030283839,200084.3047291562,187787.45774241537,196542.56727668643,23029574602
2021-07-10,196570.70912329108,200518.9945551455,190612.5951469913,193311.66423159093,17581542471
2021-07-11,193263.33804226667,198919.4468640983,190784.7320498526,195899.1494414881,14705386138
2021-07-12,195976.24334850907,198466.8750069067,184120.8478308059,186474.0337268747,17768129077
2021-07-13,186233.91157663614,186837.74306526035,176023.53999058157,177626.32879978418,16621628658
2021-07-14,177725.56289668754,184495.17462521791,171138.59376434982,182592.99590861052,17342819679
2021-07-15,182627.85469318554,186567.55675006282,172424.87062127143,174979.59818525985,15688092552
2021-07-16,175476.08160532266,179421.95296296477,169707.31598691642,172160.33949844167,14884569147
2021-07-17,171839.74820779264,175567.5929000005,169890.47269150615,173848.83911845088,13364282076
2021-07-18,173974.19215717912,182044.12931339443,172401.09869604185,173549.16980430853,13791868728
2021-07-19,173320.41392015293,175432.10298483446,165524.99947170168,166384.409891285,14157735481
2021-07-20,166547.87400901318,168188.19273120165,157664.08090770245,163657.33307531476,17368597636
2021-07-21,163544.30746184662,185463.1960318163,161049.13823803142,182285.32438550517,21253359756
2021-07-22,182638.00274589285,187151.12566208094,178927.69362053275,185419.46328925714,17495480331
2021-07-23,185410.5781550035,194963.11451820284,183151.94349891692,194536.04690801352,16200392492
2021-07-24,194461.38942774385,201207.98921737075,192938.10859977454,200436.11134052277,16057446601
2021-07-25,200246.29357931018,200913.98627186567,193076.0237654224,200633.41720230132,14566483636
2021-07-26,200627.56083708256,222372.78135526925,199347.58739615977,204478.12096841633,29614324233
2021-07-27,204187.91795454174,212130.69151636958,197278.56932843477,210426.2210072428,23067480378
2021-07-28,210769.35483347625,214403.81061773002,206084.68735671043,210262.5110115856,18991302378
2021-07-29,210488.33871313184,219409.54996473342,208143.84795473516,217990.87901929766,16313373113
2021-07-30,218136.3046380505,226116.29517731816,212623.90028946847,225865.11969654262,20212848934
2021-07-31,225372.02268613875,233574.10805293918,221914.91194633394,232205.23856440187,18001710283
2021-08-01,231679.0597962737,246782.7374581471,230806.43902613968,234552.92573587596,22697987055
2021-08-02,234179.6159819886,244063.6628511399,229931.47123941034,238975.1967572868,22162754104
2021-08-03,238907.42385903,240821.04707560688,224253.0098785758,229105.1202250123,22696753413
2021-08-04,229672.33825474977,253101.39788856357,225545.4113311842,249455.2964314893,25038698173
2021-08-05,249551.41234920174,260058.46918544173,232614.87119416893,258858.92017985135,31057928075
2021-08-06,258874.90224523842,269623.5676755607,249745.79002837092,264683.05303736776,26528577879
2021-08-07,264753.17295221984,290253.55296527594,262631.64877037704,289064.1520123929,33081467129
2021-08-08,289429.81719794124,291569.6034041494,270250.1764014289,275925.307233952,28433638008
2021-08-09,275847.76627615094,291670.0557144284,265597.18247243017,290036.2415810898,31983260936
2021-08-10,289596.2094982788,295628.8915446922,280090.76993475854,287640.6752710715,27605221710
2021-08-11,287744.972218059,299315.7416803688,285921.74266920984,289705.62517669797,26729035052
2021-08-12,289699.27705562115,296304.02763273567,273218.39240816236,278642.839515768,25403699845
2021-08-13,279154.35501831025,304393.6350232735,278117.46543904394,304168.41084028035,23868866254
2021-08-14,304218.8605208099,304815.6509596482,294308.5717708692,298970.9314137101,19860862133
2021-08-15,299047.175924249,303973.6308154091,285452.54052300006,303096.5171849355,22166205051
2021-08-16,302997.4507320747,305247.2337827161,287465.5654805228,288997.38497839123,23080039949
2021-08-17,288344.6684869677,301110.53879960626,274344.64743836224,276027.2348118052,25509056745
2021-08-18,275763.340736337,286110.30868823826,270916.7961721122,276507.3449970484,21539248425
2021-08-19,276419.18658322096,291554.1801522374,271294.1740880981,291395.47712531686,19546290360
2021-08-20,291346.07801412046,301974.26325921714,290974.4670531973,300938.647774674,20885619828
2021-08-21,300938.31248658895,302807.8788487911,293882.510024935,295367.34448581934,18113977628
2021-08-22,295380.46542621404,299638.35587579757,287669.59945654124,296835.12395944446,15983278460
2021-08-23,296765.7193258405,308853.57007290423,296261.6025137082,303897.9227658063,20511110509
2021-08-24,304410.4664851427,307508.05898762494,288778.7324418649,290457.40812098235,20131028906
2021-08-25,290623.44278069586,297440.4754207209,282552.3432924524,295260.3428816125,18902728235
2021-08-26,295611.1883338019,297525.4374214709,280182.3035819754,283853.3951776549,17405668117
2021-08-27,283494.54751650244,300472.1949907616,280571.9977469519,299443.1288001463,18489602004
2021-08-28,299855.4660871327,300747.3547458872,294572.5999615714,297044.5896024406,13709633698
2021-08-29,297261.3645256907,300599.9173986241,289210.7846682519,295451.45709008723,13296586731
2021-08-30,295468.8473654315,306399.57422593236,288533.65920423716,295210.80965518206,19306924485
2021-08-31,295520.6158457622,317423.93587231636,292541.2459220663,314378.8271314129,27280502987
2021-09-01,314106.8861419037,351288.23363455385,310137.56697084755,351101.52287626266,30070890104
2021-09-02,350204.24725560844,350724.61436359584,341206.36679522693,347087.8786203638,24387397330
2021-09-03,346767.1196856722,368281.19259803,339917.96644710004,360786.9227312952,26207765094
2021-09-04,360539.30130422115,363426.8469976932,351385.62364698946,355954.0132158622,20806963328
2021-09-05,355816.92509415746,364318.40036836267,351436.54273083806,361841.53787399083,18371468576
2021-09-06,361785.43300109357,363333.25691688806,354229.64894702286,359666.7028866261,18674691198
2021-09-07,359497.15887828916,361217.18675456196,280364.83441547304,313706.9545140639,39131346397
2021-09-08,313888.5912460014,325858.91234298795,295246.5737175867,320200.188274093,31738430771
2021-09-09,316101.51495982707,326213.35655395687,311337.74184753,313793.5482501611,24118055831
2021-09-10,313631.02293907106,321596.9760838449,289047.70054368675,294032.62967687845,22355974097
2021-09-11,293805.9972839281,306394.5672571957,293799.7162204683,299413.57874358445,18627122934
2021-09-12,299414.8304857686,317009.7433245927,296193.6731476784,312218.27541647106,16810411424
2021-09-13,311974.4986261055,313716.8343363032,285793.3496851772,300808.3101197481,22721552948
2021-09-14,300881.98408830166,313961.0581774488,299720.5461617112,313961.0581774488,19125420848
2021-09-15,314148.5289220661,331000.823357597,308169.5376743376,331000.823357597,17548551804
2021-09-16,330798.5775846988,336313.64188542217,319512.6465269029,326973.4769952893,20093903064
2021-09-17,326815.37748692185,328622.4237975329,307303.1309100464,311156.61922398955,17722363229
2021-09-18,311054.4457682073,324182.18133476377,308716.97370705754,314221.8676025346,15995220233
2021-09-19,314338.10080534965,315714.57015714794,300868.79609028995,304830.9400963262,14257609743
2021-09-20,304851.3256118968,306101.50311832875,269251.4649587795,270913.5997590348,27371684581
2021-09-21,272590.64370280504,283979.0164468512,245041.16173427552,253100.25790907443,30405062665
2021-09-22,252988.38345136493,282824.0831091106,250995.34166371077,281797.2745249346,23742102645
2021-09-23,281807.02023193985,290557.05573985726,278156.09062644094,288907.12542589754,18516291047
2021-09-24,288819.07877476513,289284.3692266494,251535.2448907867,268411.90359383076,25595422789
2021-09-25,268340.08488601446,271829.2715192884,258093.65865454823,267853.0901187584,18932786754
2021-09-26,267924.2606029436,285183.88535672426,251283.04119321704,280368.76846233755,21172766310
2021-09-27,280695.8531655669,289652.5155440271,268505.6277898699,268638.02187838405,19164053681
2021-09-28,268164.1704040617,271991.8638879955,255748.9220182225,257024.84964958578,16895079070
2021-09-29,257208.0510592535,269804.6679465622,255165.49839770794,261222.3882438615,15763456158
2021-09-30,261168.87626548856,278927.1414593458,260045.54941789806,274821.71767830104,17661065099
2021-10-01,274771.4021130055,304868.06766361,272713.672077477,302822.9444600791,22307625573
2021-10-02,302946.93399392813,317226.6523630768,298475.0850410089,310529.9657930434,19202671704
2021-10-03,310445.1155549884,319036.55979868025,306540.4846318066,312971.2430453226,15516566862
2021-10-04,313009.48823955655,314474.2948254943,300619.43116517365,309467.43785154074,17747154101
2021-10-05,309622.65388237685,324241.1473326534,308160.7978315875,322141.48393395543,16632591670
2021-10-06,321963.1106727123,331666.3031487912,307121.8294661939,327821.9346707612,21855226591
2021-10-07,327478.8231970668,334180.6061459929,318606.56400588155,328500.62481250614,19090322927
2021-10-08,328487.61563480645,335823.5177627057,324824.950946331,326283.54352642596,16222029488
2021-10-09,325939.15795800835,332186.8937821686,324533.0938445702,327378.32618170977,12707036942
2021-10-10,327314.5767404735,329898.68671698123,312661.0792141184,313657.3765825555,16171746693
2021-10-11,313096.5066738948,331642.3412269801,309986.799095273,324598.4303160757,18579189588
2021-10-12,324701.319053106,324701.319053106,311962.2494347319,319766.03490903974,18109578443
2021-10-13,319782.5534353629,330310.39813287556,312901.9725269526,330169.3983168453,16211275589
2021-10-14,330055.62389332056,349676.034406431,328711.2304349914,346632.31152294576,19443499909
2021-10-15,347011.36587935686,356653.3123985678,341994.9420187101,353647.38765853643,20966841512
2021-10-16,353924.9614878744,362786.3573451042,348451.69643508643,350694.46078848094,16578095629
2021-10-17,350646.55929739773,358432.39568288624,335161.1896795109,352225.49794748425,15908090346
2021-10-18,352282.7651524097,355988.88317670673,337544.12680499256,343221.49289141595,17386204158
2021-10-19,343075.24022872,355596.97611036897,342124.6538025439,355022.2029224485,15998757133
2021-10-20,355029.53455524147,381557.0807930976,350960.5230602324,380506.01970410347,20338319988
2021-10-21,381029.8291030973,399741.5865532011,369198.09374792874,371197.57306681573,28220661820
2021-10-22,371322.4343496859,381145.3917297423,357832.0064852685,363493.9716723189,19432937968
2021-10-23,363601.5097374618,381940.8291826993,361154.71140804887,381940.8291826993,14781537792
2021-10-24,381958.4429834336,383228.64836481214,363213.67083322257,374272.053043969,14978083638
2021-10-25,373953.68583095074,387892.2821023762,372819.2050663978,386171.9412905574,15995727040
2021-10-26,386122.586884439,392695.7086188644,376004.35246415436,378227.1783527583,17157714562
2021-10-27,378325.261293903,393613.23563985527,359838.6386166364,359838.6386166364,26219530404
2021-10-28,359340.40052226186,393063.7208210081,357590.82258942723,392529.7633693069,25958154575
2021-10-29,392654.98229280114,407949.30475983024,391100.4526153058,404196.53698663414,22967641914
2021-10-30,404150.49075628817,405304.55234500766,389341.3525008559,396039.2461079955,14615490626
2021-10-31,395773.16148370504,402338.2363040894,382613.9982473105,392598.9221249819,17498160238
2021-11-01,392612.0207128376,400770.1162828803,380961.47503882647,395945.5442644954,17985288261
2021-11-02,395750.89835485816,421152.8601386845,392654.98229280114,419765.84038847685,20794448222
2021-11-03,420213.1593990028,427100.5131267309,408612.2363615781,421816.23879121244,21220463155
2021-11-04,421585.9629344046,421754.1881429404,405283.853893891,415419.25506412983,18415244464
